###ITALIA###
e_roman_italia;Italia;;;;;;;;;;;;x
e_roman_italia_adj;Italian;;;;;;;;;;;;x
k_roman_two_siciles;Graecia Magna;;;;;;;;;;;;x
k_roman_two_siciles_adj;Greek;;;;;;;;;;;;x
k_roman_latium;Latium;;;;;;;;;;;;x
k_roman_latium_adj;Latian;;;;;;;;;;;;x
k_roman_italy;Gallia Cispadana;;;;;;;;;;;;x
k_roman_italy_adj;Cispadanian;;;;;;;;;;;;x
k_roman_tuscany;Etruria;;;;;;;;;;;;x
k_roman_tuscany_adj;Etrurian;;;;;;;;;;;;x
k_roman_lombardo_veneto;Gallia Transpadana;;;;;;;;;;;;x
k_roman_lombardo_veneto_adj;Transpadanian;;;;;;;;;;;;x
k_roman_san_marino;Ravenna;;;;;;;;;;;;x
k_roman_san_marino_adj;Ravennian;;;;;;;;;;;;x
k_roman_sardinia;Sardinia et Corsica;;;;;;;;;;;;x
k_roman_sardinia_adj;Sardinian;;;;;;;;;;;;x
###GALLIA###
e_roman_gaul;Galliarum;;;;;;;;;;;;x
e_roman_gaul_adj;Gallic;;;;;;;;;;;;x
k_roman_normandy;Armorica;;;;;;;;;;;;x
k_roman_normandy_adj;Armorican;;;;;;;;;;;;x
k_roman_burgundy;Helvetia;;;;;;;;;;;;x
k_roman_burgundy_adj;Helvetian;;;;;;;;;;;;x
k_roman_provance;Massilia;;;;;;;;;;;;x
k_roman_provance_adj;Massilian;;;;;;;;;;;;x
k_roman_france;Gallia Lugdunensis;;;;;;;;;;;;x
k_roman_aquitaine;Gallia Aquitania;;;;;;;;;;;;x
###BRITANNIA###
e_roman_britannia;Imperium Britannicum;;;;;;;;;;;;x
e_roman_britannia_adj;Britannic;;;;;;;;;;;;x
k_roman_britannia;Britannia;;;;;;;;;;;;x
k_roman_britannia_adj;Britannic;;;;;;;;;;;;x
k_roman_cornwall;Cornubia;;;;;;;;;;;;x
k_roman_cornwall_adj;Cornubian;;;;;;;;;;;;x
k_roman_england;Britannia;;;;;;;;;;;;x
k_roman_england_adj;Britannic;;;;;;;;;;;;x
k_roman_wales;Cambria;;;;;;;;;;;;x
k_roman_wales_adj;Cambrian;;;;;;;;;;;;x
k_roman_brittany;Armorica;;;;;;;;;;;;x
k_roman_brittany_adj;Armorican;;;;;;;;;;;;x
k_roman_scotland;Caledonia;;;;;;;;;;;;x
k_roman_scotland_adj;Caledonian;;;;;;;;;;;;x
k_roman_ireland;Ebdania;;;;;;;;;;;;x
k_roman_ireland_adj;Ebdanian;;;;;;;;;;;;x
###RUSSIA###
e_roman_russia;Roma Tertia;;;;;;;;;;;;x
e_roman_russia_adj;Roman;;;;;;;;;;;;x
e_roman_idel_ural;Imperium Hyperboreum;;;;;;;;;;;;x
e_roman_idel_ural_adj;Hyperborean;;;;;;;;;;;;x
k_roman_chernigov;Antea;;;;;;;;;;;;x
k_roman_chernigov_adj;Antean;;;;;;;;;;;;x
k_roman_smalensk;Venedia;;;;;;;;;;;;x
k_roman_smalensk_adj;Venedian;;;;;;;;;;;;x
k_roman_pietropolis;Petrupolis;;;;;;;;;;;;x
k_roman_pietropolis_adj;Petrupolis;;;;;;;;;;;;x
k_roman_vladimir;Roma Sclavia;;;;;;;;;;;;x
k_roman_vladimir_adj;Roman;;;;;;;;;;;;x
k_roman_volgaria;Tartaria;;;;;;;;;;;;x
k_roman_volgaria_adj;Tartarian;;;;;;;;;;;;x
k_roman_perm;Perm;;;;;;;;;;;;x
k_roman_perm_adj;Permian;;;;;;;;;;;;x
k_roman_archangelsk;Arctida;;;;;;;;;;;;x
k_roman_archangelsk_adj;Arctidan;;;;;;;;;;;;x
###STEPPES###
e_roman_steppes;Scythia Magna;;;;;;;;;;;;x
e_roman_steppes_adj;Scythian;;;;;;;;;;;;x
k_roman_wolgadeutschland;Germania Scythica;;;;;;;;;;;;x
k_roman_wolgadeutschland_adj;Scytho-Germanian;;;;;;;;;;;;x
k_roman_daylam;Margiana;;;;;;;;;;;;x
k_roman_daylam_adj;Marganian;;;;;;;;;;;;x
k_roman_khiva;Bactria;;;;;;;;;;;;x
k_roman_khiva_adj;Bactrian;;;;;;;;;;;;x
k_roman_tajikistan;Sogdiana;;;;;;;;;;;;x
k_roman_tajikistan_adj;Sogdianian;;;;;;;;;;;;x
k_roman_tian_shan;Fergana;;;;;;;;;;;;x
k_roman_tian_shan_adj;Ferganian;;;;;;;;;;;;x
k_roman_kazakhstan;Scythia;;;;;;;;;;;;x
k_roman_kazakhstan_adj;Scythian;;;;;;;;;;;;x
k_roman_caspia;Caspiana;;;;;;;;;;;;x
k_roman_caspia_adj;Caspianian;;;;;;;;;;;;x
###TRANSNISTRIA###
k_roman_alania;Alania;;;;;;;;;;;;x
k_roman_alania_adj;Alanian;;;;;;;;;;;;x
k_roman_crimea;Tauria;;;;;;;;;;;;x
k_roman_crimea_adj;Taurian;;;;;;;;;;;;x
k_roman_hellas_minor;Cimmeria;;;;;;;;;;;;x
k_roman_hellas_minor_adj;Cimmerian;;;;;;;;;;;;x
k_roman_donkuban;Ferrupolis;;;;;;;;;;;;x
